#;Processor;Rating;AnTuTu 8;Geekbench 5*;Cores;Clock**;Brand
1;A14 Bionic;96;565510;1583 / 4059;6 (2+4);3100 Mhz;Apple
2;Snapdragon 865 Plus;90;646377;971 / 3543;8 (1+3+4);3100 Mhz;Qualcomm
3;Snapdragon 865;88;581099;920 / 3436;8 (1+3+4);2840 Mhz;Qualcomm
4;A13 Bionic;87;473347;1330 / 3475;6 (2+4);2660 Mhz;Apple
5;Exynos 990;81;519427;937 / 2684;8 (2+2+4);2730 Mhz;Samsung
6;Snapdragon 855 Plus;81;470520;777 / 2762;8 (1+3+4);2960 Mhz;Qualcomm
7;Dimensity 1000;78;508089;784 / 3049;8 (4+4);2600 Mhz;MediaTek
8;Kirin 990 (5G);76;492794;755 / 3023;8 (2+2+4);2860 Mhz;HiSilicon
9;Exynos 9825;74;452028;767 / 2401;8 (2+2+4);2730 Mhz;Samsung
10;Snapdragon 855;74;422731;741 / 2614;8 (1+3+4);2840 Mhz;Qualcomm
11;A12 Bionic;72;396076;1116 / 2855;6 (2+4);2490 Mhz;Apple
12;Dimensity 1000 Plus;71;536333;791 / 3059;8 (4+4);2600 Mhz;MediaTek
13;Kirin 990 (4G);70;426154;740 / 3000;8 (2+2+4);2860 Mhz;HiSilicon
14;Exynos 9820;69;388482;820 / 2287;8 (2+2+4);2700 Mhz;Samsung
15;Kirin 985;67;379744;- / -;8 (1+3+4);2580 Mhz;HiSilicon
16;Kirin 980;64;394742;693 / 2465;8 (2+2+4);2600 Mhz;HiSilicon
17;Kirin 820;63;372841;638 / 2468;8 (1+3+4);2360 Mhz;HiSilicon
18;Snapdragon 768G;62;362985;691 / 1937;8 (1+1+6);2800 Mhz;Qualcomm
19;Snapdragon 845;61;353495;436 / 1730;8 (4+4);2800 Mhz;Qualcomm
20;Dimensity 820;59;412776;646 / 2146;8 (4+4);2600 Mhz;MediaTek
21;Dimensity 1000L;59;335111;- / -;8 (4+4);2600 Mhz;MediaTek
22;Exynos 9810;57;313627;679 / 2002;8 (4+4);2900 Mhz;Samsung
23;Exynos 980;56;331640;686 / 1827;8 (2+6);2200 Mhz;Samsung
24;Snapdragon 765G;55;308923;579 / 1791;8 (1+1+6);2400 Mhz;Qualcomm
25;Snapdragon 690;55;313774;620 / 1795;8 (2+6);2000 Mhz;Qualcomm
26;Kirin 810;55;319451;610 / 2002;8 (2+6);2200 Mhz;HiSilicon
27;Snapdragon 750G;54;322776;608 / 1792;8 (2+6);2200 Mhz;Qualcomm
28;Snapdragon 732G;53;304503;562 / 1744;8 (2+6);2300 Mhz;Qualcomm
29;Dimensity 800;52;309734;535 / 2167;8 (4+4);2000 Mhz;MediaTek
30;Snapdragon 765;53;283894;473 / 1795;8 (1+1+6);2300 Mhz;Qualcomm
31;A11 Bionic;53;313419;910 / 2317;6 (2+4);2390 Mhz;Apple
32;Dimensity 800U;52;326662;589 / 2172;8 (2+6);2400 Mhz;MediaTek
33;Dimensity 720;51;294862;- / -;8 (2+6);2000 Mhz;MediaTek
